feature,importance
desespero,0.4017856818474437
antisocial,0.2782269487578648
estres,0.2731581945436387
depresion,0.257948915589971
nins_causa,0.07345182436646294
med_presencial,0.04864809592423
t_tablet,0.046803311863101923
t_PC,0.04459077833320744
t_TV,0.035384781504366435
med_mail_RS,0.03253306883641915
t_smartphone,0.0317453983560307
t_impresos,0.030477930213094726
t_laptop,0.02833339249638333
m_impresos,0.025404977087194424
med_clases_v,0.025266371425139947
med_plataform,0.025250285826688777
m_otro,0.022815355113865076
entr_induccion,0.01894381383912471
m_pizarra,0.018830640939199308
entr_regulariz,0.018575110026039475
m_audio_vid,0.015520594834435674
m_expos,0.014608378737782602
entr_diagnost,0.013772013971596976
ev_libreta,0.012476425793721782
ev_nula,0.011793889112674576
ev_otro,0.011771289236715268
ev_partcp,0.011684552767307474
ev_exam,0.011315346617767227
nivel_edu,0.011304435624223504
edu_inicial,0.008320603285195956
laptop,0.007697253424741341
FOLIO,0.0071651050166500144
sIF_causa,0.007136910279150292
tv_plana,0.006340954863534571
InternetF,0.0061022623029653115
t_papa,0.005740648968488399
t_fam_mujer,0.0056536960714057664
SEXO,0.005620677908535536
t_fam_hombre,0.0055255480727141905
t_o_mujer,0.005442820352020596
t_o_hombre,0.005438485190748599
recursado,0.005391719082598976
max_nivel_esp,0.005364723666696941
q_mujeres,0.005090744774286029
q_hombres,0.004541686138966108
ev_asist,0.004146979535541209
FACTOR_y,0.004093381931646037
inscrito,0.0037746188972848666
tablet,0.0036629319516581203
t_mama,0.0036320489223734035
pc,0.003448516272102756
smartphone,0.0019567688129859535
EDAD,0.0016842982660573453
t_horas,0.0016015409052607178
ENT,0.0013491079570876114
extraord,0.0012857390216615507
asesorias,0.0012068084967794968
mejor_decisor,0.0009255291738071334
mejora_vida,0.0008111228962159712
q_personas,0.0005374089389014053
mejora_trabajo,0.0005354287345480704
ev_digital,0.0004218086595761956
ev_tareas,9.90288100566057e-07
nt_causa,3.3610267347050637e-18
x<30,0.0
