feature,importance
Final_Grade,0.9231226655732757
Grade_2,0.012462977844145892
Number_of_Absences,0.01028001007129816
Going_Out,0.006338709593960375
Travel_Time,0.006288918892499544
Health_Status,0.004800955110646351
Reason_for_Choosing_School_other,0.004314583841267147
Weekend_Alcohol_Consumption,0.004286175058773207
Grade_1,0.004214115253300777
Gender_M,0.003951403383248027
Mother_Job_services,0.002510238760413401
Guardian_other,0.0024064067281130558
Weekday_Alcohol_Consumption,0.0022659034167289527
Age,0.0020325866292185977
Mother_Education,0.0019317972095879241
Mother_Job_other,0.0019317972095879241
Free_Time,0.0017386174886291313
Mother_Job_health,0.0015454377676703387
Address_Urbana,0.001448847907190943
Father_Education,0.0013913007364468905
Extra_Curricular_Activities_yes,0.000556489309807433
Wants_Higher_Education_yes,0.00016402215324848034
Extra_Paid_Class_yes,1.6040060941833613e-05
Family_Size_> 3,0.0
Reason_for_Choosing_School_reputation,0.0
Internet_Access_yes,0.0
Attended_Nursery_yes,0.0
Family_Support_yes,0.0
School_Support_yes,0.0
Guardian_mother,0.0
Study_Time,0.0
Parental_Status_Together,0.0
Reason_for_Choosing_School_home,0.0
Father_Job_teacher,0.0
Father_Job_services,0.0
Father_Job_other,0.0
Father_Job_health,0.0
Mother_Job_teacher,0.0
Number_of_Failures,0.0
Family_Relationship,0.0
In_Relationship_yes,0.0
